('mln', 26745)
('dlr', 24682)
('reuter', 20036)
('pct', 18046)
('year', 15386)
('will', 15042)
('bank', 12332)
('compani', 11520)
('billion', 10756)
('share', 10220)
('ct', 9222)
('market', 8485)
('net', 7712)
('trade', 7498)
('price', 7469)
('corp', 7192)
('stock', 6713)
('loss', 6398)
('rate', 5961)
('sale', 5680)
('offer', 5431)
('shr', 5391)
('two', 5073)
('unit', 4914)
(u'oper', 4895)
('product', 4704)
('oil', 4506)
('expect', 4505)
('profit', 4405)
('month', 4369)
('issu', 4344)
('govern', 4326)
('debt', 4290)
(u'industri', 4249)
('report', 4216)
('plan', 4126)
('offici', 4096)
('increas', 4010)
('exchang', 3988)
('april', 3804)
('group', 3734)
('export', 3718)
('week', 3675)
('march', 3650)
('interest', 3544)
('secur', 3504)
('includ', 3417)
('japan', 3381)
('state', 3351)
('agreement', 3313)
(u'intern', 3304)
('three', 3254)
('tonn', 3229)
('tax', 3203)
('total', 3113)
('dollar', 3092)
('meet', 3083)
('loan', 3069)
('system', 3065)
('manag', 3059)
('foreign', 3050)
('note', 3023)
('nation', 2965)
('told', 2913)
(u'countri', 2883)
('quarter', 2880)
(u'februari', 2835)
('term', 2822)
('presid', 2816)
('qtr', 2814)
(u'current', 2775)
('bond', 2774)
('rise', 2764)
('financ', 2733)
('propos', 2705)
('today', 2692)
('sell', 2590)
('set', 2520)
('invest', 2517)
(u'gener', 2505)
('buy', 2482)
('rev', 2470)
('financi', 2430)
('develop', 2426)
('econom', 2422)
(u'use', 2418)
(u'januari', 2383)
('cut', 2381)
('day', 2375)
('time', 2349)
('world', 2346)
('firm', 2341)
('common', 2334)
('fund', 2287)
('board', 2276)
('continu', 2273)
('busi', 2270)
('minist', 2265)
('record', 2254)
('major', 2248)
('credit', 2244)
('contract', 2215)
('servic', 2209)
('analyst', 2207)
('japanes', 2183)
('american', 2181)
('rose', 2180)
('capit', 2158)
('sourc', 2132)
(u'feder', 2106)
('futur', 2101)
('approv', 2096)
('close', 2094)
('produc', 2070)
('pay', 2070)
('import', 2056)
('spokesman', 1994)
('earn', 1985)
('reserv', 1984)
('base', 1956)
(u'take', 1932)
('earlier', 1929)
('rais', 1921)
('hold', 1913)
('growth', 1911)
('agre', 1891)
('declin', 1864)
('franc', 1863)
('chairman', 1858)
('yen', 1853)
(u'currenc', 1830)
('call', 1824)
('statement', 1817)
('level', 1809)
('end', 1802)
('chang', 1802)
('commiss', 1800)
('cost', 1798)
('announc', 1798)
('hous', 1797)
('lower', 1791)
('payment', 1787)
('talk', 1784)
('program', 1773)
('stg', 1764)
('purchas', 1753)
('period', 1752)
('point', 1739)
('compar', 1737)
('lead', 1711)
(u'polici', 1698)
('fall', 1684)
('west', 1681)
('gain', 1681)
('sharehold', 1665)
('cash', 1661)
('depart', 1660)
('money', 1649)
('open', 1646)
('budget', 1634)
('mark', 1627)
('reduc', 1602)
('bill', 1594)
('estim', 1580)
('central', 1578)
('dividend', 1564)
('acquir', 1549)
('june', 1546)
('plant', 1543)
('deficit', 1527)
('investor', 1527)
('public', 1521)
(u'file', 1516)
('higher', 1501)
('union', 1497)
('complet', 1494)
('offic', 1481)
('yesterday', 1481)
('fell', 1479)
('canada', 1478)
('dealer', 1476)
('high', 1472)
('remain', 1456)
('long', 1451)
('asset', 1442)
(u'subsidiari', 1441)
('receiv', 1440)
('valu', 1439)
('acquisit', 1435)
('own', 1432)
('work', 1426)
('order', 1425)
('start', 1424)
('annual', 1415)
('demand', 1414)
('account', 1409)
('move', 1382)
(u'economi', 1380)
('agricultur', 1377)
('decemb', 1376)
('support', 1366)
('member', 1361)
('domest', 1356)
(u'treasuri', 1346)
('privat', 1317)
(u'associ', 1316)
('brazil', 1307)
(u'suppli', 1304)
('figur', 1295)
('reagan', 1286)
('control', 1277)
('non', 1269)
('committe', 1269)
('bid', 1269)
('addit', 1268)
('york', 1264)
('ago', 1263)
('negoti', 1260)
('option', 1258)
('good', 1251)
('averag', 1244)
('ga', 1243)
('european', 1242)
('wheat', 1227)
('amount', 1223)
('help', 1220)
('canadian', 1220)
('deal', 1215)
('comput', 1210)
(u'ministri', 1207)
('tender', 1201)
('trader', 1189)
('well', 1188)
('convert', 1185)
('sign', 1185)
('requir', 1180)
('execut', 1180)
(u'commun', 1174)
('provid', 1172)
(u'rule', 1169)
('stake', 1164)
('south', 1164)
('prefer', 1163)
('revenu', 1159)
('incom', 1152)
(u'earli', 1149)
('seek', 1144)
('commerci', 1143)
('allow', 1140)
('outstand', 1130)
('improv', 1124)
('sold', 1117)
('avg', 1115)
('problem', 1109)
('posit', 1100)
('third', 1097)
('project', 1094)
('prior', 1091)
('action', 1080)
('limit', 1077)
('second', 1073)
('drop', 1062)
(u'agenc', 1059)
('chief', 1053)
('repres', 1048)
('reach', 1048)
('manufactur', 1047)
('comment', 1045)
(u'juli', 1042)
('effect', 1036)
('institut', 1029)
('director', 1027)
('initi', 1027)
('basi', 1026)
(u'corpor', 1024)
('china', 1020)
('th', 1020)
('fiscal', 1017)
('power', 1009)
('area', 1008)
('farm', 1005)
('save', 1005)
(u'mine', 1003)
('half', 1001)
('surplu', 1000)
('banker', 999)
('merger', 996)
('mth', 992)
('london', 988)
(u'energi', 982)
('gold', 977)
('charg', 976)
(u'news', 976)
('sector', 975)
('measur', 973)
('german', 970)
('held', 970)
('consid', 958)
('forecast', 956)
('decis', 955)
('senior', 953)
('car', 949)
('administr', 949)
('court', 948)
('forc', 945)
('consum', 945)
('aid', 944)
('barrel', 943)
('sugar', 943)
('full', 942)
('output', 942)
('short', 941)
('grain', 937)
(u'activ', 932)
('discuss', 929)
('rang', 927)
('adjust', 925)
